instant,season,year,month,hour,holiday,weekday,working_day,weather_sit,temp, feeling_temp,hum,wind_speed,casual,registered,datetime,cnt
28,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,2011-01-02 03:00:00,6
29,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,2011-01-02 04:00:00,3
30,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2011-01-02 06:00:00,2
31,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,2011-01-02 07:00:00,1
32,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,2011-01-02 08:00:00,8
33,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,2011-01-02 09:00:00,20
34,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,2011-01-02 10:00:00,53
35,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,2011-01-02 11:00:00,70
36,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,2011-01-02 12:00:00,93
37,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,2011-01-02 13:00:00,75
38,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,2011-01-02 14:00:00,59
39,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,2011-01-02 15:00:00,74
40,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,2011-01-02 16:00:00,76
41,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,2011-01-02 17:00:00,65
42,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,2011-01-02 18:00:00,53
43,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,2011-01-02 19:00:00,30
44,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,2011-01-02 20:00:00,22
45,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,2011-01-02 21:00:00,31
46,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,2011-01-02 22:00:00,9
47,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,2011-01-02 23:00:00,8
48,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,2011-01-03 00:00:00,5
49,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2011-01-03 01:00:00,2
50,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,2011-01-03 04:00:00,1
51,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,2011-01-03 05:00:00,3
52,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,2011-01-03 06:00:00,30
53,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,2011-01-03 07:00:00,64
54,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,2011-01-03 08:00:00,154
55,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,2011-01-03 09:00:00,88
56,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,2011-01-03 10:00:00,44
57,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,2011-01-03 11:00:00,51
58,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,2011-01-03 12:00:00,61
59,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,2011-01-03 13:00:00,61
60,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,2011-01-03 14:00:00,77
61,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,2011-01-03 15:00:00,72
62,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,2011-01-03 16:00:00,76
63,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,2011-01-03 17:00:00,157
64,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,2011-01-03 18:00:00,157
65,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,2011-01-03 19:00:00,110
66,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,2011-01-03 20:00:00,52
67,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,2011-01-03 21:00:00,52
68,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,2011-01-03 22:00:00,20
69,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,2011-01-03 23:00:00,12
70,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,2011-01-04 00:00:00,5
71,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2011-01-04 01:00:00,2
72,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,2011-01-04 02:00:00,1
73,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2011-01-04 04:00:00,2
74,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,2011-01-04 05:00:00,4
75,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,2011-01-04 06:00:00,36
76,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,2011-01-04 07:00:00,94
77,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,2011-01-04 08:00:00,179
78,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,2011-01-04 09:00:00,100
79,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,2011-01-04 10:00:00,42
80,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,2011-01-04 11:00:00,57
81,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,2011-01-04 12:00:00,78
82,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,2011-01-04 13:00:00,97
83,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,2011-01-04 14:00:00,63
84,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,2011-01-04 15:00:00,65
85,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,2011-01-04 16:00:00,83
86,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,2011-01-04 17:00:00,212
87,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,2011-01-04 18:00:00,182
88,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,2011-01-04 19:00:00,112
89,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,2011-01-04 20:00:00,54
90,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,2011-01-04 21:00:00,48
91,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,2011-01-04 22:00:00,35
92,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,2011-01-04 23:00:00,11
93,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,2011-01-05 00:00:00,6
94,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,2011-01-05 01:00:00,6
95,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2011-01-05 02:00:00,2
96,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2011-01-05 04:00:00,2
97,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,2011-01-05 05:00:00,3
98,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,2011-01-05 06:00:00,33
99,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,2011-01-05 07:00:00,88
100,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,2011-01-05 08:00:00,195
101,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,2011-01-05 09:00:00,115
102,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,2011-01-05 10:00:00,57
103,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,2011-01-05 11:00:00,46
104,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,2011-01-05 12:00:00,79
105,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,2011-01-05 13:00:00,71
106,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,2011-01-05 14:00:00,62
107,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,2011-01-05 15:00:00,62
108,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,2011-01-05 16:00:00,89
109,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,2011-01-05 17:00:00,190
110,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,2011-01-05 18:00:00,169
111,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,2011-01-05 19:00:00,132
112,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,2011-01-05 20:00:00,89
113,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,2011-01-05 21:00:00,43
114,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,2011-01-05 22:00:00,42
115,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,2011-01-05 23:00:00,19
116,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,2011-01-06 00:00:00,11
117,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,2011-01-06 01:00:00,4
118,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2011-01-06 02:00:00,2
119,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,2011-01-06 04:00:00,1
120,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,2011-01-06 05:00:00,4
121,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,2011-01-06 06:00:00,36
122,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,2011-01-06 07:00:00,95
123,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,2011-01-06 08:00:00,219
124,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,2011-01-06 09:00:00,122
125,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,2011-01-06 10:00:00,45
126,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,2011-01-06 11:00:00,59
127,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,2011-01-06 12:00:00,84
128,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,2011-01-06 13:00:00,67
129,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,2011-01-06 14:00:00,70
130,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,2011-01-06 15:00:00,62
131,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,2011-01-06 16:00:00,86
132,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,2011-01-06 17:00:00,172
133,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,2011-01-06 18:00:00,163
134,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,2011-01-06 19:00:00,112
135,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,2011-01-06 20:00:00,69
136,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,2011-01-06 21:00:00,48
137,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,2011-01-06 22:00:00,52
138,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,2011-01-06 23:00:00,23
139,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,2011-01-07 00:00:00,17
140,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,2011-01-07 01:00:00,7
141,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,2011-01-07 02:00:00,1
142,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,2011-01-07 04:00:00,1
143,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,2011-01-07 05:00:00,5
144,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,2011-01-07 06:00:00,34
145,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,2011-01-07 07:00:00,84
146,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,2011-01-07 08:00:00,210
147,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,2011-01-07 09:00:00,134
148,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,2011-01-07 10:00:00,63
149,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,2011-01-07 11:00:00,67
150,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,2011-01-07 12:00:00,59
151,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,2011-01-07 13:00:00,73
152,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,2011-01-07 14:00:00,50
153,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,2011-01-07 15:00:00,72
154,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,2011-01-07 16:00:00,87
155,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,2011-01-07 17:00:00,187
156,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,2011-01-07 18:00:00,123
157,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,2011-01-07 19:00:00,95
158,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,2011-01-07 20:00:00,51
159,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,2011-01-07 21:00:00,39
160,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,2011-01-07 22:00:00,36
161,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,2011-01-07 23:00:00,15
162,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,2011-01-08 00:00:00,25
163,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,2011-01-08 01:00:00,16
164,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,2011-01-08 02:00:00,16
165,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,2011-01-08 03:00:00,7
166,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,2011-01-08 04:00:00,1
167,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,2011-01-08 05:00:00,5
168,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2011-01-08 06:00:00,2
169,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,2011-01-08 07:00:00,9
170,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,2011-01-08 08:00:00,15
171,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,2011-01-08 09:00:00,20
172,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,2011-01-08 10:00:00,61
173,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,2011-01-08 11:00:00,62
174,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,2011-01-08 12:00:00,98
175,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,2011-01-08 13:00:00,102
176,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,2011-01-08 14:00:00,95
177,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,2011-01-08 15:00:00,74
178,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,2011-01-08 16:00:00,76
179,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,2011-01-08 17:00:00,69
180,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,2011-01-08 18:00:00,55
181,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,2011-01-08 19:00:00,30
182,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,2011-01-08 20:00:00,28
183,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,2011-01-08 21:00:00,37
184,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,2011-01-08 22:00:00,34
185,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,2011-01-08 23:00:00,22
186,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,2011-01-09 00:00:00,25
187,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,2011-01-09 01:00:00,12
188,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,2011-01-09 02:00:00,11
189,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,2011-01-09 03:00:00,4
190,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,2011-01-09 04:00:00,1
191,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,2011-01-09 05:00:00,1
192,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,2011-01-09 06:00:00,1
193,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,2011-01-09 07:00:00,6
194,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,2011-01-09 08:00:00,10
195,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,2011-01-09 09:00:00,19
196,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,2011-01-09 10:00:00,49
197,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,2011-01-09 11:00:00,49
198,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,2011-01-09 12:00:00,83
199,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,2011-01-09 13:00:00,75
200,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,2011-01-09 14:00:00,72
201,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,2011-01-09 15:00:00,82
202,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,2011-01-09 16:00:00,92
203,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,2011-01-09 17:00:00,62
204,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,2011-01-09 18:00:00,48
205,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,2011-01-09 19:00:00,41
206,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,2011-01-09 20:00:00,38
207,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,2011-01-09 21:00:00,20
208,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,2011-01-09 22:00:00,15
209,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,2011-01-09 23:00:00,6
210,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,2011-01-10 00:00:00,5
211,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,2011-01-10 01:00:00,1
212,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,2011-01-10 02:00:00,3
213,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,2011-01-10 03:00:00,1
214,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,2011-01-10 04:00:00,3
215,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,2011-01-10 05:00:00,3
216,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,2011-01-10 06:00:00,31
217,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,2011-01-10 07:00:00,77
218,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,2011-01-10 08:00:00,188
219,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,2011-01-10 09:00:00,94
220,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,2011-01-10 10:00:00,31
221,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,2011-01-10 11:00:00,30
222,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,2011-01-10 12:00:00,52
223,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,2011-01-10 13:00:00,54
224,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,2011-01-10 14:00:00,47
225,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,2011-01-10 15:00:00,45
226,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,2011-01-10 16:00:00,74
227,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,2011-01-10 17:00:00,178
228,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,2011-01-10 18:00:00,155
229,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,2011-01-10 19:00:00,95
230,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,2011-01-10 20:00:00,74
231,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,2011-01-10 21:00:00,38
232,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,2011-01-10 22:00:00,24
233,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,2011-01-10 23:00:00,18
234,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,2011-01-11 00:00:00,12
235,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,2011-01-11 01:00:00,3
236,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,2011-01-11 02:00:00,3
237,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,2011-01-11 05:00:00,6
238,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,2011-01-11 06:00:00,27
239,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,2011-01-11 07:00:00,99
240,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,2011-01-11 08:00:00,217
241,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,2011-01-11 09:00:00,130
242,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,2011-01-11 10:00:00,54
243,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,2011-01-11 11:00:00,35
244,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,2011-01-11 12:00:00,57
245,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,2011-01-11 13:00:00,52
246,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,2011-01-11 14:00:00,63
247,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,2011-01-11 15:00:00,47
248,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,2011-01-11 16:00:00,76
249,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,2011-01-11 17:00:00,136
250,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,2011-01-11 18:00:00,95
251,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,2011-01-11 19:00:00,51
252,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,2011-01-11 20:00:00,32
253,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,2011-01-11 21:00:00,20
