instant,season,year,month,hour,holiday,working_day,weather_sit,feeling_temp,hum,wind_speed,datetime,cnt,rolling_mean_6,rolling_median_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_24,rolling_median_24,rolling_std_24,rolling_min_24,rolling_max_24,rolling_mean_168,rolling_median_168,rolling_std_168,rolling_min_168,rolling_max_168,lag_1,lag_2,lag_8,lag_24,lag_72,lag_168
186,1,0,1,0,0,0,1,0.0758,0.42,0.3881,2011-01-09 00:00:00,25,34.333333333333336,32.0,11.360751148874813,22.0,55.0,39.958333333333336,29.0,32.256417179770104,1.0,102.0,57.517857142857146,51.5,50.34313078203972,1.0,219.0,22.0,34.0,76.0,25.0,42.0,67.0
187,1,0,1,1,0,0,1,0.0606,0.42,0.4627,2011-01-09 01:00:00,12,29.333333333333332,29.0,5.573747990953695,22.0,37.0,39.958333333333336,29.0,32.256417179770104,1.0,102.0,57.267857142857146,51.0,50.40001345098741,1.0,219.0,25.0,22.0,69.0,16.0,19.0,35.0
188,1,0,1,2,0,0,1,0.0606,0.46,0.4627,2011-01-09 02:00:00,11,26.333333333333332,26.5,8.959166627910228,12.0,37.0,39.791666666666664,29.0,32.39562392168683,1.0,102.0,57.13095238095238,51.0,50.49201745456851,1.0,219.0,12.0,25.0,55.0,16.0,11.0,37.0
189,1,0,1,3,0,0,1,0.0758,0.46,0.4179,2011-01-09 03:00:00,4,23.5,23.5,10.821275340734733,11.0,37.0,39.583333333333336,29.0,32.57088145630366,1.0,102.0,56.976190476190474,51.0,50.593833188029095,1.0,219.0,11.0,12.0,30.0,7.0,4.0,36.0
190,1,0,1,4,0,0,1,0.0909,0.53,0.194,2011-01-09 04:00:00,1,18.0,17.0,10.972693379475865,4.0,34.0,39.458333333333336,29.0,32.706839022451945,1.0,102.0,56.785714285714285,51.0,50.73332212990829,1.0,219.0,4.0,11.0,28.0,1.0,2.0,34.0
191,1,0,1,5,0,0,1,0.0909,0.53,0.194,2011-01-09 05:00:00,1,12.5,11.5,9.523654760646956,1.0,25.0,39.458333333333336,29.0,32.706839022451945,1.0,102.0,56.589285714285715,51.0,50.885727368154456,1.0,219.0,1.0,4.0,37.0,5.0,1.0,28.0
192,1,0,1,6,0,0,1,0.0909,0.49,0.2836,2011-01-09 06:00:00,1,9.0,7.5,9.186947262284319,1.0,25.0,39.291666666666664,29.0,32.899688338244616,1.0,102.0,56.42857142857143,51.0,51.019025619786916,1.0,219.0,1.0,1.0,34.0,2.0,4.0,39.0
193,1,0,1,7,0,0,1,0.0909,0.53,0.194,2011-01-09 07:00:00,6,5.0,2.5,5.176871642217264,1.0,12.0,39.25,29.0,32.94956620417762,1.0,102.0,56.20238095238095,51.0,51.1807364027547,1.0,219.0,1.0,1.0,22.0,9.0,36.0,17.0
194,1,0,1,8,0,0,1,0.0909,0.49,0.2836,2011-01-09 08:00:00,10,4.0,2.5,3.9999999999991567,1.0,11.0,39.125,29.0,33.074767079925294,1.0,102.0,56.13690476190476,51.0,51.23819280905781,1.0,219.0,6.0,1.0,25.0,15.0,95.0,17.0
195,1,0,1,9,0,0,1,0.0758,0.46,0.5224,2011-01-09 09:00:00,19,3.8333333333333335,2.5,3.656045222184747,1.0,10.0,38.916666666666664,29.0,33.24862424962512,1.0,102.0,56.095238095238095,51.0,51.273043669442934,1.0,219.0,10.0,6.0,12.0,20.0,219.0,9.0
196,1,0,1,10,0,0,1,0.1061,0.43,0.3881,2011-01-09 10:00:00,49,6.333333333333333,3.5,7.201851613762946,1.0,19.0,38.875,29.0,33.273977951180676,1.0,102.0,56.154761904761905,51.0,51.223823529183775,1.0,219.0,19.0,10.0,11.0,61.0,122.0,6.0
197,1,0,1,11,0,0,1,0.1212,0.4,0.5224,2011-01-09 11:00:00,49,14.333333333333334,8.0,18.2610697021467,1.0,49.0,38.375,29.0,33.01621801742166,1.0,102.0,56.410714285714285,51.0,51.07893742618908,1.0,219.0,49.0,19.0,4.0,62.0,45.0,3.0
198,1,0,1,12,0,0,1,0.1364,0.37,0.4478,2011-01-09 12:00:00,83,22.333333333333332,14.5,21.481775221490896,1.0,49.0,37.833333333333336,29.0,32.71705666928881,1.0,102.0,56.68452380952381,51.0,50.91393934995767,1.0,219.0,49.0,49.0,1.0,98.0,59.0,2.0
199,1,0,1,13,0,0,1,0.1667,0.34,0.4478,2011-01-09 13:00:00,75,36.0,34.0,29.705218396773216,6.0,83.0,37.208333333333336,29.0,31.643364805783374,1.0,102.0,57.166666666666664,51.5,50.77632843109196,1.0,219.0,83.0,49.0,1.0,102.0,84.0,1.0
200,1,0,1,14,0,0,1,0.1818,0.32,0.4627,2011-01-09 14:00:00,72,47.5,49.0,29.118722499450314,10.0,83.0,36.083333333333336,29.0,29.657342615522694,1.0,95.0,57.607142857142854,52.0,50.60686040381845,1.0,219.0,75.0,83.0,1.0,95.0,67.0,8.0
201,1,0,1,15,0,0,1,0.197,0.35,0.3582,2011-01-09 15:00:00,82,57.833333333333336,60.5,23.634015034831915,19.0,83.0,35.125,29.0,27.9958265523244,1.0,83.0,57.98809523809524,52.0,50.47190338278019,1.0,219.0,72.0,75.0,6.0,74.0,70.0,20.0
202,1,0,1,16,0,0,1,0.1667,0.34,0.4478,2011-01-09 16:00:00,92,68.33333333333333,73.5,15.539197748489494,49.0,83.0,35.458333333333336,29.0,28.521508537862577,1.0,83.0,58.357142857142854,52.5,50.41911595876414,1.0,219.0,82.0,72.0,10.0,76.0,62.0,53.0
203,1,0,1,17,0,0,1,0.1515,0.37,0.3881,2011-01-09 17:00:00,62,75.5,78.5,14.734313692873329,49.0,92.0,36.125,29.0,29.674044433536253,1.0,92.0,58.589285714285715,52.5,50.48404388429965,1.0,219.0,92.0,82.0,19.0,69.0,86.0,70.0
204,1,0,1,18,0,0,1,0.1364,0.4,0.3284,2011-01-09 18:00:00,48,77.66666666666667,78.5,10.366613075959824,62.0,92.0,35.833333333333336,29.0,29.369707355452714,1.0,92.0,58.541666666666664,52.5,50.47698878900752,1.0,219.0,62.0,92.0,49.0,55.0,172.0,93.0
205,1,0,1,19,0,0,1,0.1364,0.43,0.3284,2011-01-09 19:00:00,41,71.83333333333333,73.5,15.393721663933682,48.0,92.0,35.541666666666664,29.0,29.20538837517716,1.0,92.0,58.273809523809526,52.0,50.412395393918004,1.0,219.0,48.0,62.0,49.0,30.0,163.0,75.0
206,1,0,1,20,0,0,1,0.1212,0.46,0.2537,2011-01-09 20:00:00,38,66.16666666666667,67.0,19.661298702442345,41.0,92.0,36.0,31.0,29.200952932634213,1.0,92.0,58.07142857142857,52.0,50.41309251918754,1.0,219.0,41.0,48.0,83.0,28.0,112.0,59.0
207,1,0,1,21,0,0,1,0.1061,0.46,0.4179,2011-01-09 21:00:00,20,60.5,55.0,22.358443595205685,38.0,92.0,36.416666666666664,35.5,29.153143863080274,1.0,92.0,57.94642857142857,51.5,50.43680565236097,1.0,219.0,38.0,41.0,75.0,37.0,69.0,74.0
208,1,0,1,22,0,0,1,0.1212,0.46,0.2985,2011-01-09 22:00:00,15,50.166666666666664,44.5,24.644810136551275,20.0,92.0,35.708333333333336,29.5,29.34425233205886,1.0,92.0,57.625,51.0,50.50590615845071,1.0,219.0,20.0,38.0,72.0,34.0,48.0,76.0
209,1,0,1,23,0,0,1,0.1364,0.5,0.194,2011-01-09 23:00:00,6,37.333333333333336,39.5,17.523317798483824,15.0,62.0,34.916666666666664,23.5,29.647078698622643,1.0,92.0,57.26190476190476,50.5,50.59221001019256,1.0,219.0,15.0,20.0,82.0,22.0,52.0,65.0
210,1,0,1,0,0,1,1,0.1212,0.5,0.2836,2011-01-10 00:00:00,5,28.0,29.0,16.64932431061372,6.0,48.0,34.25,22.5,30.12618390240863,1.0,92.0,56.910714285714285,49.5,50.74272672663943,1.0,219.0,6.0,15.0,92.0,25.0,23.0,53.0
211,1,0,1,1,0,1,1,0.1212,0.5,0.2836,2011-01-10 01:00:00,1,20.833333333333332,17.5,15.535979745952924,5.0,41.0,33.416666666666664,19.5,30.664973173152305,1.0,92.0,56.625,49.0,50.89977088992355,1.0,219.0,5.0,6.0,62.0,12.0,17.0,30.0
212,1,0,1,2,0,1,1,0.1212,0.5,0.2239,2011-01-10 02:00:00,3,14.166666666666666,10.5,13.614942771332505,1.0,38.0,32.958333333333336,19.5,31.07841298430784,1.0,92.0,56.45238095238095,49.0,51.039588899360126,1.0,219.0,1.0,5.0,48.0,11.0,7.0,22.0
213,1,0,1,3,0,1,1,0.1212,0.5,0.2239,2011-01-10 03:00:00,1,8.333333333333334,5.5,7.474400756358935,1.0,20.0,32.625,19.5,31.365742181697236,1.0,92.0,56.339285714285715,49.0,51.137343580487034,1.0,219.0,3.0,1.0,41.0,4.0,1.0,31.0
214,1,0,1,4,0,1,1,0.1212,0.54,0.1343,2011-01-10 04:00:00,3,5.166666666666667,4.0,5.2313159593604075,1.0,15.0,32.5,19.5,31.490509267286377,1.0,92.0,56.160714285714285,49.0,51.278543137584265,1.0,219.0,1.0,3.0,38.0,1.0,1.0,9.0
215,1,0,1,5,0,1,1,0.1061,0.54,0.2537,2011-01-10 05:00:00,3,3.1666666666666665,3.0,2.0412414523173945,1.0,6.0,32.583333333333336,19.5,31.406059601773517,1.0,92.0,56.125,49.0,51.31366353972658,1.0,219.0,3.0,1.0,20.0,1.0,5.0,8.0
216,1,0,1,6,0,1,1,0.1212,0.5,0.2836,2011-01-10 06:00:00,31,2.6666666666666665,3.0,1.5055453054155519,1.0,5.0,32.666666666666664,19.5,31.321150884883345,1.0,92.0,56.095238095238095,49.0,51.343184668649265,1.0,219.0,3.0,3.0,15.0,1.0,34.0,5.0
217,1,0,1,7,0,1,1,0.1212,0.5,0.2239,2011-01-10 07:00:00,77,7.0,3.0,11.798304963001774,1.0,31.0,33.916666666666664,25.5,30.59257748378608,1.0,92.0,56.25,49.0,51.22730255387365,1.0,219.0,31.0,3.0,6.0,6.0,84.0,2.0
218,1,0,1,8,0,1,2,0.1212,0.5,0.2836,2011-01-10 08:00:00,188,19.666666666666668,3.0,30.32270876202618,1.0,77.0,36.875,34.5,31.202442072766576,1.0,92.0,56.69642857142857,49.5,51.078284279065926,1.0,219.0,77.0,31.0,5.0,10.0,210.0,1.0
219,1,0,1,9,0,1,2,0.1212,0.5,0.2537,2011-01-10 09:00:00,94,50.5,17.0,73.41866247760166,1.0,188.0,44.291666666666664,39.5,43.33336817166946,1.0,188.0,57.80952380952381,50.5,51.88840540371952,1.0,219.0,188.0,77.0,1.0,19.0,134.0,3.0
220,1,0,1,10,0,1,2,0.1212,0.5,0.2985,2011-01-10 10:00:00,31,66.0,54.0,70.6427632528626,3.0,188.0,47.416666666666664,44.5,44.12720413676288,1.0,188.0,58.351190476190474,51.0,51.787698800750704,1.0,219.0,94.0,188.0,3.0,49.0,63.0,30.0
221,1,0,1,11,0,1,2,0.1364,0.47,0.2836,2011-01-10 11:00:00,30,70.66666666666667,54.0,66.44897792040642,3.0,188.0,46.666666666666664,39.5,44.25191390276784,1.0,188.0,58.357142857142854,51.0,51.784478024239505,1.0,219.0,31.0,94.0,1.0,49.0,67.0,64.0
222,1,0,1,12,0,1,2,0.1818,0.4,0.2836,2011-01-10 12:00:00,52,75.16666666666667,54.0,61.694138025153244,30.0,188.0,45.875,34.5,44.37813063053553,1.0,188.0,58.154761904761905,50.5,51.82871237345453,1.0,219.0,30.0,31.0,3.0,83.0,59.0,154.0
223,1,0,1,13,0,1,2,0.1818,0.4,0.2836,2011-01-10 13:00:00,54,78.66666666666667,64.5,59.233999245928516,30.0,188.0,44.583333333333336,34.5,43.69649937890931,1.0,188.0,57.54761904761905,50.5,51.293894247868266,1.0,219.0,52.0,30.0,3.0,75.0,73.0,88.0
224,1,0,1,14,0,1,2,0.197,0.4,0.2239,2011-01-10 14:00:00,47,74.83333333333333,53.0,60.10130336911721,30.0,188.0,43.708333333333336,34.5,43.26910652775432,1.0,188.0,57.345238095238095,50.5,51.24006994147884,1.0,219.0,54.0,52.0,31.0,72.0,50.0,44.0
225,1,0,1,15,0,1,2,0.197,0.4,0.2239,2011-01-10 15:00:00,45,51.333333333333336,49.5,23.30379082180964,30.0,94.0,42.666666666666664,34.5,42.857363698533916,1.0,188.0,57.36309523809524,50.5,51.23591386326637,1.0,219.0,47.0,54.0,77.0,82.0,72.0,51.0
226,1,0,1,16,0,1,1,0.2121,0.4,0.1343,2011-01-10 16:00:00,74,43.166666666666664,46.0,10.342469079801926,30.0,54.0,41.125,34.5,42.03860803139654,1.0,188.0,57.32738095238095,49.5,51.242466602601,1.0,219.0,45.0,47.0,188.0,92.0,87.0,61.0
227,1,0,1,17,0,1,1,0.2273,0.4,0.1045,2011-01-10 17:00:00,178,50.333333333333336,49.5,14.348054455801986,30.0,74.0,40.375,34.5,41.244564859321635,1.0,188.0,57.404761904761905,49.5,51.25785911351602,1.0,219.0,74.0,45.0,94.0,62.0,187.0,61.0
228,1,0,1,18,0,1,1,0.197,0.4,0.2239,2011-01-10 18:00:00,155,75.0,53.0,51.50533952902353,45.0,178.0,45.208333333333336,34.5,49.79870713064813,1.0,188.0,58.101190476190474,49.5,52.09498922896423,1.0,219.0,178.0,74.0,31.0,48.0,123.0,77.0
229,1,0,1,19,0,1,1,0.1667,0.47,0.1642,2011-01-10 19:00:00,95,92.16666666666667,64.0,58.935275231958165,45.0,178.0,49.666666666666664,34.5,54.616183830728154,1.0,188.0,58.56547619047619,49.5,52.60946840863299,1.0,219.0,155.0,178.0,30.0,41.0,95.0,72.0
230,1,0,1,20,0,1,1,0.1667,0.5,0.1642,2011-01-10 20:00:00,74,99.0,84.5,55.92494970940962,45.0,178.0,51.916666666666664,34.5,55.35098810371842,1.0,188.0,58.70238095238095,49.5,52.674524234008594,1.0,219.0,95.0,155.0,52.0,38.0,51.0,76.0
231,1,0,1,21,0,1,1,0.1364,0.59,0.194,2011-01-10 21:00:00,38,103.5,84.5,51.84110338331926,45.0,178.0,53.416666666666664,38.0,55.4451681092832,1.0,188.0,58.69047619047619,49.5,52.670817333455936,1.0,219.0,74.0,95.0,54.0,20.0,39.0,157.0
232,1,0,1,22,0,1,1,0.1515,0.59,0.1642,2011-01-10 22:00:00,24,102.33333333333333,84.5,53.473981212049864,38.0,178.0,54.166666666666664,41.5,55.094122362014154,1.0,188.0,57.982142857142854,49.0,52.13828609398083,1.0,219.0,38.0,74.0,47.0,15.0,36.0,157.0
233,1,0,1,23,0,1,1,0.1515,0.59,0.1642,2011-01-10 23:00:00,18,94.0,84.5,61.99032182526556,24.0,178.0,54.541666666666664,41.5,54.84601302672368,1.0,188.0,57.19047619047619,48.5,51.633085106510904,1.0,219.0,24.0,38.0,45.0,6.0,15.0,110.0
234,1,0,1,0,0,1,1,0.1667,0.59,0.1045,2011-01-11 00:00:00,12,67.33333333333333,56.0,52.28256560906956,18.0,155.0,55.041666666666664,41.5,54.43742252361422,1.0,188.0,56.642857142857146,48.0,51.55745422728544,1.0,219.0,18.0,24.0,74.0,5.0,25.0,52.0
235,1,0,1,1,0,1,1,0.1515,0.59,0.1642,2011-01-11 01:00:00,3,43.5,31.0,33.5723100188235,12.0,95.0,55.333333333333336,41.5,54.175774039266216,1.0,188.0,56.404761904761905,48.0,51.671259120565765,1.0,219.0,12.0,18.0,178.0,1.0,16.0,52.0
236,1,0,1,2,0,1,2,0.1515,0.55,0.194,2011-01-11 02:00:00,3,28.166666666666668,21.0,25.348898726900615,3.0,74.0,55.416666666666664,41.5,54.09003497926378,1.0,188.0,56.11309523809524,47.5,51.83430829200519,1.0,219.0,3.0,12.0,155.0,3.0,16.0,20.0
237,1,0,1,5,0,1,2,0.1818,0.55,0.1343,2011-01-11 05:00:00,6,16.333333333333332,15.0,13.456101466125464,3.0,38.0,55.416666666666664,41.5,54.09003497926378,1.0,188.0,56.01190476190476,47.5,51.92174997918558,1.0,219.0,3.0,3.0,95.0,1.0,7.0,12.0
238,1,0,1,6,0,1,2,0.1818,0.55,0.1343,2011-01-11 06:00:00,27,11.0,9.0,8.625543461138973,3.0,24.0,55.625,41.5,53.88055428848881,3.0,188.0,55.976190476190474,47.5,51.95425813823197,1.0,219.0,6.0,3.0,74.0,3.0,1.0,5.0
239,1,0,1,7,0,1,2,0.2273,0.55,0.0,2011-01-11 07:00:00,99,11.5,9.0,9.565563234854354,3.0,27.0,56.625,41.5,53.078131499500515,3.0,188.0,56.107142857142854,47.5,51.85262807702655,1.0,219.0,27.0,6.0,38.0,3.0,5.0,2.0
240,1,0,1,8,0,1,2,0.2121,0.51,0.0896,2011-01-11 08:00:00,217,25.0,9.0,37.35773012376417,3.0,99.0,60.625,46.0,52.47509761367982,3.0,188.0,56.68452380952381,48.0,51.786542524078925,1.0,219.0,99.0,27.0,24.0,31.0,2.0,1.0
241,1,0,1,9,0,1,2,0.197,0.51,0.1642,2011-01-11 09:00:00,130,59.166666666666664,16.5,85.63741394196033,3.0,217.0,68.375,49.5,60.95886888429101,3.0,217.0,57.970238095238095,48.0,53.06141798882584,1.0,219.0,217.0,99.0,18.0,77.0,9.0,2.0
242,1,0,1,10,0,1,2,0.2121,0.51,0.1642,2011-01-11 10:00:00,54,80.33333333333333,63.0,84.66797899245418,3.0,217.0,70.58333333333333,49.5,62.231626704745956,3.0,217.0,58.732142857142854,48.5,53.17178951446988,1.0,219.0,130.0,217.0,12.0,188.0,15.0,4.0
243,1,0,1,11,0,1,2,0.2121,0.47,0.1343,2011-01-11 11:00:00,35,88.83333333333333,76.5,77.61808208572705,6.0,217.0,65.0,49.5,57.03317112607067,3.0,217.0,59.029761904761905,49.0,53.0032679588177,1.0,219.0,54.0,130.0,3.0,94.0,20.0,36.0
244,1,0,1,12,0,1,2,0.2273,0.51,0.1045,2011-01-11 12:00:00,57,93.66666666666667,76.5,72.13783103661117,27.0,217.0,62.541666666666664,46.0,57.00036549590428,3.0,217.0,59.023809523809526,49.0,53.00592582180767,1.0,219.0,35.0,54.0,3.0,31.0,61.0,94.0
245,1,0,1,13,0,1,2,0.2273,0.59,0.0896,2011-01-11 13:00:00,52,98.66666666666667,78.0,67.48234336970421,35.0,217.0,63.625,49.5,56.620638808922344,3.0,217.0,58.80357142857143,49.0,52.93655211706533,1.0,219.0,57.0,35.0,6.0,30.0,62.0,179.0
246,1,0,1,14,0,1,2,0.2273,0.59,0.0896,2011-01-11 14:00:00,63,90.83333333333333,55.5,70.1125285998634,35.0,217.0,64.54166666666667,52.0,56.22932792449674,3.0,217.0,58.04761904761905,49.0,52.11017916626498,1.0,219.0,52.0,57.0,27.0,52.0,98.0,100.0
247,1,0,1,15,0,1,2,0.197,0.8,0.0896,2011-01-11 15:00:00,47,65.16666666666667,55.5,33.11444800486131,35.0,130.0,65.0,53.0,56.16745150614954,3.0,217.0,57.82738095238095,49.0,52.009901984879406,1.0,219.0,63.0,52.0,99.0,54.0,102.0,42.0
248,1,0,1,16,0,1,2,0.1515,0.86,0.2239,2011-01-11 16:00:00,76,51.333333333333336,53.0,9.60555394897469,35.0,63.0,64.70833333333333,49.5,56.245176926881825,3.0,217.0,57.857142857142854,49.0,52.00222078563717,1.0,219.0,47.0,63.0,217.0,47.0,95.0,57.0
249,1,0,1,17,0,1,2,0.1515,0.86,0.2239,2011-01-11 17:00:00,136,55.0,54.5,14.01427843308376,35.0,76.0,65.91666666666667,53.0,56.15964562834649,3.0,217.0,57.970238095238095,49.0,52.02100285142073,1.0,219.0,76.0,47.0,130.0,45.0,74.0,78.0
250,1,0,1,18,0,1,3,0.1818,0.93,0.1045,2011-01-11 18:00:00,95,71.83333333333333,60.0,32.99343369015513,47.0,136.0,69.70833333333333,55.5,57.73588980014512,3.0,217.0,58.31547619047619,49.0,52.346169255257166,1.0,219.0,136.0,76.0,54.0,74.0,76.0,97.0
251,1,0,1,19,0,1,3,0.2273,0.93,0.0,2011-01-11 19:00:00,51,78.16666666666667,69.5,33.22298401207609,47.0,136.0,70.58333333333333,55.5,57.962444112858456,3.0,217.0,58.30357142857143,49.0,52.33754550801225,1.0,219.0,95.0,136.0,35.0,178.0,69.0,63.0
252,1,0,1,20,0,1,3,0.1515,0.93,0.194,2011-01-11 20:00:00,32,78.0,69.5,33.38263021393007,47.0,136.0,65.29166666666667,53.0,53.34259996489204,3.0,217.0,58.232142857142854,49.0,52.33928617031183,1.0,219.0,51.0,95.0,57.0,155.0,55.0,65.0
253,1,0,1,21,0,1,3,0.197,0.86,0.0896,2011-01-11 21:00:00,20,72.83333333333333,63.5,38.21736080195313,32.0,136.0,60.166666666666664,51.5,50.16292296686586,3.0,217.0,58.035714285714285,48.5,52.375646036018836,1.0,219.0,32.0,51.0,52.0,95.0,30.0,83.0
254,1,0,1,22,0,1,3,0.1818,0.93,0.1045,2011-01-11 22:00:00,29,68.33333333333333,63.5,43.140081903801054,20.0,136.0,57.041666666666664,49.0,50.234648675353945,3.0,217.0,57.660714285714285,48.0,52.42135031024114,1.0,219.0,20.0,32.0,63.0,74.0,28.0,212.0
255,1,0,1,23,0,1,3,0.197,0.93,0.0896,2011-01-11 23:00:00,19,60.5,41.5,45.662895221393896,20.0,136.0,55.166666666666664,42.5,50.41365124531317,3.0,217.0,56.57142857142857,48.0,51.07920014807715,1.0,219.0,29.0,20.0,47.0,38.0,37.0,182.0
256,1,0,1,0,0,1,2,0.197,0.86,0.0896,2011-01-12 00:00:00,7,41.0,30.5,28.86520396602105,19.0,95.0,54.375,41.0,50.84230735707529,3.0,217.0,55.601190476190474,47.5,50.223350234267755,1.0,219.0,19.0,29.0,76.0,24.0,34.0,112.0
257,1,0,1,1,0,1,2,0.1818,0.86,0.1045,2011-01-12 01:00:00,6,26.333333333333332,24.5,14.935416521365045,7.0,51.0,53.666666666666664,41.0,51.39926125900082,3.0,217.0,54.976190476190474,47.0,50.1706014521581,1.0,219.0,7.0,19.0,136.0,18.0,22.0,54.0
258,1,0,1,2,0,1,1,0.1515,0.86,0.1343,2011-01-12 02:00:00,1,18.833333333333332,19.5,10.796604404471989,6.0,32.0,53.166666666666664,41.0,51.81796454199422,3.0,217.0,54.69047619047619,46.5,50.31266937037911,1.0,219.0,6.0,7.0,95.0,12.0,25.0,48.0
